dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
pbmc3k,PaCMAP,relational,label_support_gate,-0.025,True,1,0.3920836492,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.1901159951,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PCA,factor,label_support_gate,-0.025,False,1,-0.1796764347,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,GLM-PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.2127045177,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,GLM-PCA,factor,label_support_gate,-0.025,True,1,0.02066544567,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,False,gained_support
paul15,scScope,deep,local_neighbourhood_gate,-0.025,False,2,-0.1996153846,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,scScope,deep,label_support_gate,-0.025,True,1,0.08464590965,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,SAUCIE,deep,local_neighbourhood_gate,-0.025,False,2,-0.1706043956,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,SAUCIE,deep,label_support_gate,-0.025,False,1,-0.02094627595,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,UMAP,graph,local_neighbourhood_gate,-0.025,False,2,-0.0834981685,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,UMAP,graph,label_support_gate,-0.025,False,1,-0.0176984127,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PHATE,graph,local_neighbourhood_gate,-0.025,False,2,-0.1834004884,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PHATE,graph,label_support_gate,-0.025,False,1,-0.1466117216,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,t-SNE,relational,local_neighbourhood_gate,-0.025,True,2,0.03137362637,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,t-SNE,relational,label_support_gate,-0.025,False,1,-0.002167277167,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PaCMAP,relational,local_neighbourhood_gate,-0.025,False,2,-0.09641636142,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PaCMAP,relational,label_support_gate,-0.025,True,1,0.01258241758,label_neighbor_recall,one applicable method-dataset-claim gate decision,False,False,gained_support
heart_cell_atlas_subsampled,PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.2231333333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PCA,factor,label_support_gate,-0.025,True,1,0.181425,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,GLM-PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.224225,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,GLM-PCA,factor,label_support_gate,-0.025,True,1,0.273025,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,-0.025,False,2,-0.1766833333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,label_support_gate,-0.025,True,1,0.3292833333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,-0.025,False,2,-0.2092333333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,label_support_gate,-0.025,True,1,0.332975,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,UMAP,graph,local_neighbourhood_gate,-0.025,False,2,-0.01505,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,UMAP,graph,label_support_gate,-0.025,True,1,0.425725,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,local_neighbourhood_gate,-0.025,False,2,-0.07165833333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,label_support_gate,-0.025,True,1,0.4130083333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,local_neighbourhood_gate,-0.025,True,2,0.108373128,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,label_support_gate,-0.025,True,1,0.4367583333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,local_neighbourhood_gate,-0.025,False,2,-0.04373333333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,label_support_gate,-0.025,True,1,0.4248083333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PCA,factor,global_geometry_gate,-0.025,True,1,0.2266416813,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
