scenario,replicate,method,family,seed,n_metrics,fraction_pass,mean_threshold_margin,minimum_threshold_margin,n_definition
linear_low_rank,0,UMAP,graph,1000,4,0.5,0.1378794445,-0.2297222222,one method-scenario-generated-dataset run
linear_low_rank,0,scScope,deep,1000,4,0.5,0.1419774715,-0.2111111111,one method-scenario-generated-dataset run
linear_low_rank,0,t-SNE,relational,1000,4,0.5,0.1349757441,-0.2337962963,one method-scenario-generated-dataset run
linear_low_rank,1,GLM-PCA,factor,1001,4,0.75,0.2046948749,-0.1210185185,one method-scenario-generated-dataset run
linear_low_rank,1,PCA,factor,1001,4,0.75,0.1885851428,-0.1472222222,one method-scenario-generated-dataset run
linear_low_rank,1,PHATE,graph,1001,4,0.5,0.1513047967,-0.2116666667,one method-scenario-generated-dataset run
linear_low_rank,1,PaCMAP,relational,1001,4,0.5,0.1331726498,-0.2297222222,one method-scenario-generated-dataset run
linear_low_rank,1,SAUCIE,deep,1001,4,0.75,0.1883859743,-0.1539814815,one method-scenario-generated-dataset run
linear_low_rank,1,UMAP,graph,1001,4,0.5,0.124771885,-0.2324074074,one method-scenario-generated-dataset run
linear_low_rank,1,scScope,deep,1001,4,0.5,0.1428697514,-0.2118518519,one method-scenario-generated-dataset run
linear_low_rank,1,t-SNE,relational,1001,4,0.5,0.1345123519,-0.2177777778,one method-scenario-generated-dataset run
linear_low_rank,2,GLM-PCA,factor,1002,4,0.75,0.2094747016,-0.1160185185,one method-scenario-generated-dataset run
linear_low_rank,2,PCA,factor,1002,4,0.75,0.1978468907,-0.1387962963,one method-scenario-generated-dataset run
linear_low_rank,2,PHATE,graph,1002,4,0.5,0.1617020006,-0.2021296296,one method-scenario-generated-dataset run
linear_low_rank,2,PaCMAP,relational,1002,4,0.5,0.1389092239,-0.2287037037,one method-scenario-generated-dataset run
linear_low_rank,2,SAUCIE,deep,1002,4,0.75,0.1888050349,-0.155462963,one method-scenario-generated-dataset run
linear_low_rank,2,UMAP,graph,1002,4,0.5,0.1345958895,-0.2265740741,one method-scenario-generated-dataset run
linear_low_rank,2,scScope,deep,1002,4,0.5,0.1416836313,-0.2168518519,one method-scenario-generated-dataset run
linear_low_rank,2,t-SNE,relational,1002,4,0.5,0.1364085282,-0.2232407407,one method-scenario-generated-dataset run
linear_low_rank,3,GLM-PCA,factor,1003,4,0.75,0.2027933423,-0.1278703704,one method-scenario-generated-dataset run
linear_low_rank,3,PCA,factor,1003,4,0.75,0.1893660722,-0.1537037037,one method-scenario-generated-dataset run
linear_low_rank,3,PHATE,graph,1003,4,0.5,0.1580755937,-0.2053703704,one method-scenario-generated-dataset run
linear_low_rank,3,PaCMAP,relational,1003,4,0.5,0.1398280808,-0.224537037,one method-scenario-generated-dataset run
linear_low_rank,3,SAUCIE,deep,1003,4,0.75,0.1830283316,-0.165,one method-scenario-generated-dataset run
linear_low_rank,3,UMAP,graph,1003,4,0.5,0.127289117,-0.2322222222,one method-scenario-generated-dataset run
linear_low_rank,3,scScope,deep,1003,4,0.5,0.136286963,-0.2207407407,one method-scenario-generated-dataset run
linear_low_rank,3,t-SNE,relational,1003,4,0.5,0.1348495594,-0.2269444444,one method-scenario-generated-dataset run
linear_low_rank,4,GLM-PCA,factor,1004,4,0.75,0.2096008574,-0.1175,one method-scenario-generated-dataset run
linear_low_rank,4,PCA,factor,1004,4,0.75,0.1947010605,-0.1446296296,one method-scenario-generated-dataset run
linear_low_rank,4,PHATE,graph,1004,4,0.5,0.1575604922,-0.2053703704,one method-scenario-generated-dataset run
linear_low_rank,4,PaCMAP,relational,1004,4,0.5,0.138295315,-0.2240740741,one method-scenario-generated-dataset run
linear_low_rank,4,SAUCIE,deep,1004,4,0.75,0.1900142504,-0.1562962963,one method-scenario-generated-dataset run
linear_low_rank,4,UMAP,graph,1004,4,0.5,0.1377213579,-0.2287037037,one method-scenario-generated-dataset run
linear_low_rank,4,scScope,deep,1004,4,0.5,0.1396869121,-0.2130555556,one method-scenario-generated-dataset run
linear_low_rank,4,t-SNE,relational,1004,4,0.5,0.1361950197,-0.2255555556,one method-scenario-generated-dataset run
nonlinear_manifold,0,GLM-PCA,factor,2000,5,0.8,0.1565622211,-0.1357407407,one method-scenario-generated-dataset run
nonlinear_manifold,0,PCA,factor,2000,5,0.6,0.1071331502,-0.1638888889,one method-scenario-generated-dataset run
nonlinear_manifold,0,PHATE,graph,2000,5,0.6,0.1391274321,-0.1547222222,one method-scenario-generated-dataset run
nonlinear_manifold,0,PaCMAP,relational,2000,5,0.6,0.161367789,-0.1374074074,one method-scenario-generated-dataset run
nonlinear_manifold,0,SAUCIE,deep,2000,5,0.8,0.1524017446,-0.1251851852,one method-scenario-generated-dataset run
nonlinear_manifold,0,UMAP,graph,2000,5,0.6,0.1116089085,-0.1618518519,one method-scenario-generated-dataset run
nonlinear_manifold,0,scScope,deep,2000,5,0.6,0.04147628336,-0.1866666667,one method-scenario-generated-dataset run
nonlinear_manifold,0,t-SNE,relational,2000,5,0.6,0.06659022951,-0.1752777778,one method-scenario-generated-dataset run
nonlinear_manifold,1,GLM-PCA,factor,2001,5,0.8,0.1551176025,-0.1381481481,one method-scenario-generated-dataset run
nonlinear_manifold,1,PCA,factor,2001,5,0.6,0.1186354257,-0.16,one method-scenario-generated-dataset run
nonlinear_manifold,1,PHATE,graph,2001,5,0.6,0.1494781974,-0.1731481481,one method-scenario-generated-dataset run
nonlinear_manifold,1,PaCMAP,relational,2001,5,0.6,0.1412608631,-0.1541666667,one method-scenario-generated-dataset run
nonlinear_manifold,1,SAUCIE,deep,2001,5,0.4,0.07312457024,-0.1528703704,one method-scenario-generated-dataset run
nonlinear_manifold,1,UMAP,graph,2001,5,0.6,0.09964004678,-0.1774074074,one method-scenario-generated-dataset run
nonlinear_manifold,1,scScope,deep,2001,5,0.4,-0.01703094808,-0.1831481481,one method-scenario-generated-dataset run
nonlinear_manifold,1,t-SNE,relational,2001,5,0.4,0.008404165303,-0.1884259259,one method-scenario-generated-dataset run
nonlinear_manifold,2,GLM-PCA,factor,2002,5,0.8,0.1438163874,-0.1353703704,one method-scenario-generated-dataset run
nonlinear_manifold,2,PCA,factor,2002,5,0.6,0.1082838556,-0.1612037037,one method-scenario-generated-dataset run
nonlinear_manifold,2,PHATE,graph,2002,5,0.6,0.1288274899,-0.1622222222,one method-scenario-generated-dataset run
nonlinear_manifold,2,PaCMAP,relational,2002,5,0.6,0.1561362946,-0.1407407407,one method-scenario-generated-dataset run
nonlinear_manifold,2,SAUCIE,deep,2002,5,0.6,0.1103865305,-0.1469444444,one method-scenario-generated-dataset run
nonlinear_manifold,2,UMAP,graph,2002,5,0.6,0.1193967427,-0.1590740741,one method-scenario-generated-dataset run
nonlinear_manifold,2,scScope,deep,2002,5,0.6,0.09290773818,-0.1708333333,one method-scenario-generated-dataset run
nonlinear_manifold,2,t-SNE,relational,2002,5,0.6,0.08513448729,-0.1696296296,one method-scenario-generated-dataset run
nonlinear_manifold,3,GLM-PCA,factor,2003,5,0.8,0.1630411808,-0.124537037,one method-scenario-generated-dataset run
nonlinear_manifold,3,PCA,factor,2003,5,0.6,0.1322924687,-0.1610185185,one method-scenario-generated-dataset run
nonlinear_manifold,3,PHATE,graph,2003,5,0.6,0.1588288482,-0.152037037,one method-scenario-generated-dataset run
nonlinear_manifold,3,PaCMAP,relational,2003,5,0.8,0.1974551509,-0.1455555556,one method-scenario-generated-dataset run
nonlinear_manifold,3,SAUCIE,deep,2003,5,0.6,0.1908156328,-0.1456481481,one method-scenario-generated-dataset run
nonlinear_manifold,3,UMAP,graph,2003,5,0.6,0.1327275216,-0.1633333333,one method-scenario-generated-dataset run
nonlinear_manifold,3,scScope,deep,2003,5,0.6,0.09382658528,-0.1700925926,one method-scenario-generated-dataset run
nonlinear_manifold,3,t-SNE,relational,2003,5,0.6,0.1162962697,-0.1716666667,one method-scenario-generated-dataset run
nonlinear_manifold,4,GLM-PCA,factor,2004,5,0.8,0.1588287483,-0.1462037037,one method-scenario-generated-dataset run
nonlinear_manifold,4,PCA,factor,2004,5,0.6,0.1146306584,-0.1838888889,one method-scenario-generated-dataset run
nonlinear_manifold,4,PHATE,graph,2004,5,0.6,0.1346205342,-0.1752777778,one method-scenario-generated-dataset run
