dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
heart_cell_atlas_subsampled,SAUCIE,deep,0,local_retention,0.06576666667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.7807777778,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,SAUCIE,deep,0,trustworthiness,0.8756103516,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.02709960929,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,SAUCIE,deep,0,global_rank_corr,0.4977815276,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1061811725,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,SAUCIE,deep,0,label_neighbor_recall,0.857975,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.5599545455,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,UMAP,graph,0,local_retention,0.1183472328,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.6055092242,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,UMAP,graph,0,trustworthiness,0.8570027606,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.04777471049,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,UMAP,graph,0,global_rank_corr,0.5246826843,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1659615206,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9218347233,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.6760631332,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,UMAP,graph,0,local_retention,0.1915018315,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.3616605617,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,UMAP,graph,0,trustworthiness,0.9108641504,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.01207127825,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
