dataset_id,method,navigation_group,reference_pca_dimensions,k,local_retention,analytic_random_expectation,normalised_excess_overlap,fixed_operational_boundary,meets_boundary,evaluation_cells,n_definition
pbmc3k,SAUCIE,deep,10,30,0.3666666667,0.03003003003,0.3470588235,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,10,30,0.3685333333,0.03003003003,0.3489832817,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,10,30,0.3212666667,0.03003003003,0.3002532508,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,10,30,0.3429333333,0.03003003003,0.3225907121,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,10,30,0.4139,0.03003003003,0.3957544892,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,10,50,0.37064,0.05005005005,0.3374808851,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,10,50,0.2963,0.05005005005,0.2592241307,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,10,50,0.23192,0.05005005005,0.1914521391,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,10,50,0.47276,0.05005005005,0.4449812856,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,10,50,0.47374,0.05005005005,0.4460129189,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,10,50,0.4081,0.05005005005,0.3769145416,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,10,50,0.433,0.05005005005,0.4031264489,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,10,50,0.51056,0.05005005005,0.4847728556,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,20,5,0.0684,0.005005005005,0.0637138833,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,20,5,0.0458,0.005005005005,0.04100020121,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,20,5,0.0402,0.005005005005,0.03537203219,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,20,5,0.0948,0.005005005005,0.09024668008,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,20,5,0.1242,0.005005005005,0.1197945674,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,20,5,0.1014,0.005005005005,0.09687987928,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,20,5,0.165,0.005005005005,0.1607997988,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,20,5,0.1354,0.005005005005,0.1310509054,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,20,15,0.149,0.01501501502,0.136027439,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,20,15,0.1068666667,0.01501501502,0.09325182927,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
