scenario,method,family,metric,claim_axis,decision_agreement,n_replicate_pairs,value_mean,value_sd,value_minimum,value_maximum,value_range,pass_fraction,n_generated_datasets,n_definition
dropout_stress,GLM-PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.9123986397,0.006615132525,0.9029257665,0.9200730645,0.01714729794,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,GLM-PCA,factor,latent_distance_corr,truth_geometry,1,10,0.9175484628,0.0104574318,0.9056695272,0.9322044212,0.02653489403,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,GLM-PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.9972222222,0.0008072035081,0.9965740741,0.9986111111,0.002037037037,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,scScope,deep,truth_local_retention,truth_geometry,1,10,0.08407407407,0.006566244686,0.07694444444,0.09416666667,0.01722222222,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,scScope,deep,truth_trustworthiness,truth_geometry,1,10,0.860110314,0.005801908234,0.8529075668,0.8676211542,0.01471358733,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,scScope,deep,latent_distance_corr,truth_geometry,1,10,0.8301983187,0.01107379558,0.8109617783,0.8385494325,0.02758765421,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,scScope,deep,label_neighbor_recall,cell_state_support,1,10,0.9746296296,0.007349017552,0.9638888889,0.984537037,0.02064814815,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,SAUCIE,deep,truth_local_retention,truth_geometry,1,10,0.1248333333,0.01435026873,0.1111111111,0.1469444444,0.03583333333,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,SAUCIE,deep,truth_trustworthiness,truth_geometry,0.6,10,0.8938629576,0.006936926944,0.8869096392,0.9041482013,0.01723856209,0.2,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,SAUCIE,deep,latent_distance_corr,truth_geometry,1,10,0.8395557619,0.07384120698,0.7310336271,0.8971094174,0.1660757902,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,SAUCIE,deep,label_neighbor_recall,cell_state_support,1,10,0.9929259259,0.002034510217,0.9896296296,0.995,0.00537037037,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,UMAP,graph,truth_local_retention,truth_geometry,1,10,0.06959259259,0.004269613019,0.0637037037,0.07388888889,0.01018518519,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,UMAP,graph,truth_trustworthiness,truth_geometry,1,10,0.8522596312,0.001587984057,0.8507299803,0.8547413518,0.004011371486,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,UMAP,graph,latent_distance_corr,truth_geometry,1,10,0.8151049337,0.02048232167,0.7850213148,0.8413000037,0.05627868889,1,5,five independently generated datasets and ten generated-dataset pairs
