method,family,scenario,scenario_label,metric,metric_label,column_label,claim_axis,threshold,value,value_sd_across_generated_datasets,value_minimum,value_maximum,relative_threshold_margin,relative_margin_minimum,relative_margin_maximum,n_generated_datasets,n_cells_per_generated_dataset,value_definition
GLM-PCA,factor,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.6854096552,0.142074651,0.5167354763,0.8820109332,0.05447639268,-0.2050223442,0.3569398973,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,nonlinear_manifold,Nonlinear,latent_distance_corr,Geometry,Nonlinear | Geometry,truth_geometry,0.45,0.7488557871,0.02171774954,0.7304286964,0.7837396378,0.6641239713,0.6231748809,0.7416436396,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,nonlinear_manifold,Nonlinear,pseudotime_distance_corr,Pseudotime,Nonlinear | Pseudotime,continuum_support,0.45,0.6826363114,0.03240447667,0.6387598425,0.7296806557,0.516969581,0.4194663167,0.6215125683,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,nonlinear_manifold,Nonlinear,truth_local_retention,Local,Nonlinear | Local,truth_geometry,0.3,0.1365185185,0.01051050327,0.1247222222,0.147962963,-0.5449382716,-0.5842592593,-0.5067901235,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,nonlinear_manifold,Nonlinear,truth_trustworthiness,Trust,Nonlinear | Trust,truth_geometry,0.9,0.8917237366,0.006074011693,0.8827687444,0.8986626548,-0.009195848168,-0.01914583961,-0.001485939151,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,rare_population,Rare,label_neighbor_recall,Same-label,Rare | Same-label,cell_state_support,0.55,0.9915740741,0.002339681253,0.9884259259,0.9936111111,0.8028619529,0.7971380471,0.8065656566,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,rare_population,Rare,latent_distance_corr,Geometry,Rare | Geometry,truth_geometry,0.45,0.875028604,0.01642908755,0.8476802303,0.8895241186,0.9445080089,0.8837338452,0.9767202635,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,rare_population,Rare,rare_label_recall,Rare-state,Rare | Rare-state,rare_state_support,0.5,0.9775238095,0.02437053349,0.939047619,0.9961904762,0.955047619,0.8780952381,0.9923809524,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,rare_population,Rare,truth_local_retention,Local,Rare | Local,truth_geometry,0.3,0.1180555556,0.004635181856,0.1125925926,0.1237037037,-0.6064814815,-0.624691358,-0.587654321,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,rare_population,Rare,truth_trustworthiness,Trust,Rare | Trust,truth_geometry,0.9,0.8851481747,0.003123528937,0.8824334449,0.8902322121,-0.01650202809,-0.01951839453,-0.01085309764,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.001629694314,0.002420065525,0,0.005398545396,-0.997492778,-1,-0.9916945455,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,batch_shift,Batch,label_neighbor_recall,Same-label,Batch | Same-label,cell_state_support,0.55,0.9961666667,0.004201296423,0.9902777778,1,0.8112121212,0.8005050505,0.8181818182,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,batch_shift,Batch,latent_distance_corr,Geometry,Batch | Geometry,truth_geometry,0.45,0.6577311913,0.05216281498,0.604710822,0.7404958262,0.4616248695,0.3438018266,0.6455462804,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,batch_shift,Batch,truth_local_retention,Local,Batch | Local,truth_geometry,0.3,0.06938888889,0.005663155533,0.06481481481,0.07898148148,-0.7687037037,-0.7839506173,-0.7367283951,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,batch_shift,Batch,truth_trustworthiness,Trust,Batch | Trust,truth_geometry,0.9,0.8543143897,0.002322933476,0.8516786227,0.857818561,-0.05076178921,-0.05369041926,-0.04686826552,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,branching_trajectory,Branch,label_neighbor_recall,Same-label,Branch | Same-label,cell_state_support,0.55,0.8265555556,0.03606403627,0.7908333333,0.8859259259,0.5028282828,0.4378787879,0.6107744108,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,branching_trajectory,Branch,latent_distance_corr,Geometry,Branch | Geometry,truth_geometry,0.45,0.6976297842,0.05469325461,0.6290676517,0.7690171357,0.5502884093,0.3979281149,0.7089269683,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PaCMAP,relational,branching_trajectory,Branch,pseudotime_distance_corr,Pseudotime,Branch | Pseudotime,continuum_support,0.45,0.5306657375,0.0504072276,0.4646170764,0.5974337832,0.1792571945,0.03248239198,0.3276306294,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
