dataset_id,method,family,claim_gate,support,components,source_data,support_definition
paul15,GLM-PCA,factor,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,PCA,factor,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,PHATE,graph,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,PaCMAP,relational,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,SAUCIE,deep,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,UMAP,graph,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,scScope,deep,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
paul15,t-SNE,relational,continuum_gate,below_threshold,pseudotime_rank_corr;pseudotime_neighborhood_retention,fig4_paul15_continuum_metrics.csv,Both Paul15 pseudotime diagnostic components pass the Fig4 continuum thresholds.
heart_cell_atlas_subsampled,GLM-PCA,factor,donor_aware_gate,pass,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,PCA,factor,donor_aware_gate,pass,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,PHATE,graph,donor_aware_gate,pass,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,PaCMAP,relational,donor_aware_gate,below_threshold,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,SAUCIE,deep,donor_aware_gate,pass,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,UMAP,graph,donor_aware_gate,below_threshold,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,scScope,deep,donor_aware_gate,pass,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
heart_cell_atlas_subsampled,t-SNE,relational,donor_aware_gate,below_threshold,cell_type_label_recall;donor_entropy_norm,fig4_heart_donor_gate_metrics.csv,Both heart atlas cell-type conservation and donor-mixing diagnostic components pass thresholds.
